url,noun,stanza,spacy
https://pl.wikipedia.org/wiki/Achilles,achilles,16.0,10.0
https://pl.wikipedia.org/wiki/Achilles,bohater,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,branek,0.0,2.0
https://pl.wikipedia.org/wiki/Achilles,branka,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,cios,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,córka,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,dziecko,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,hektor,4.0,0.0
https://pl.wikipedia.org/wiki/Achilles,hektora,0.0,3.0
https://pl.wikipedia.org/wiki/Achilles,heros,2.0,3.0
https://pl.wikipedia.org/wiki/Achilles,król,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,królewna,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,matka,3.0,3.0
https://pl.wikipedia.org/wiki/Achilles,miasto,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,miejsce,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,mitologia,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,myrmidon,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,neoptolemos,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,ojciec,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,patroklos,0.0,2.0
https://pl.wikipedia.org/wiki/Achilles,peleus,3.0,2.0
https://pl.wikipedia.org/wiki/Achilles,pięto,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,potrzebny,0.0,2.0
https://pl.wikipedia.org/wiki/Achilles,przepowiednia,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,przypis,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,syn,3.0,3.0
https://pl.wikipedia.org/wiki/Achilles,tetyda,3.0,2.0
https://pl.wikipedia.org/wiki/Achilles,troja,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,wojna,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,zbroję,0.0,2.0
https://pl.wikipedia.org/wiki/Achilles,zbrója,2.0,0.0
https://pl.wikipedia.org/wiki/Achilles,śmierć,2.0,2.0
https://pl.wikipedia.org/wiki/Achilles,ἀχιλλεύς,0.0,2.0
https://pl.wikipedia.org/wiki/Agamemnon,achilles,3.0,3.0
https://pl.wikipedia.org/wiki/Agamemnon,agamemnić,0.0,2.0
https://pl.wikipedia.org/wiki/Agamemnon,agamemnon,13.0,15.0
https://pl.wikipedia.org/wiki/Agamemnon,agamemnona,10.0,3.0
https://pl.wikipedia.org/wiki/Agamemnon,ajgistos,2.0,2.0
