urls,openai,huggingface
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.7367,0.6406
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/TensorFlow,0.6975,0.7172
https://pl.wikipedia.org/wiki/Achilles vs https://pl.wikipedia.org/wiki/Agamemnon,0.6953,0.4576
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Blazar,0.691,0.4407
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/PLLuM,0.684,0.6815
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.683,0.7835
https://pl.wikipedia.org/wiki/Hekabe vs https://pl.wikipedia.org/wiki/Penelopa,0.656,0.6587
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.6474,0.3936
https://pl.wikipedia.org/wiki/Hekabe vs https://pl.wikipedia.org/wiki/Achilles,0.6399,0.551
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.6281,0.6553
https://pl.wikipedia.org/wiki/Agamemnon vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.6169,0.5724
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.6149,0.5217
https://pl.wikipedia.org/wiki/Achilles vs https://pl.wikipedia.org/wiki/Penelopa,0.6035,0.5467
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.6027,0.5869
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.5949,0.4126
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.5898,0.6771
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.577,0.4404
https://pl.wikipedia.org/wiki/Achilles vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.567,0.6426
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.5633,0.4526
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.5602,0.4798
https://pl.wikipedia.org/wiki/Hekabe vs https://pl.wikipedia.org/wiki/Agamemnon,0.5535,0.7062
https://pl.wikipedia.org/wiki/Agamemnon vs https://pl.wikipedia.org/wiki/Penelopa,0.5512,0.6002
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Hugging_Face,0.5446,0.4662
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Retrieval-augmented_generation,0.5341,0.5922
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/PyTorch,0.5189,0.6205
https://pl.wikipedia.org/wiki/Sen_Agamemnona vs https://pl.wikipedia.org/wiki/Penelopa,0.5141,0.4769
https://pl.wikipedia.org/wiki/Hekabe vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.5099,0.4868
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/TensorFlow,0.5084,0.4924
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/PLLuM,0.5046,0.5542
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.4949,0.4558
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.4664,0.3981
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/PyTorch,0.4624,0.5019
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.4621,0.6863
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/PyTorch,0.4373,0.612
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/TensorFlow,0.4342,0.3825
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.4316,0.6834
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.4044,0.5076
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.402,0.444
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.3921,0.631
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/TensorFlow,0.3905,0.482
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.389,0.4779
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Hugging_Face,0.3847,0.5321
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.3688,0.4326
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Hugging_Face,0.3678,0.4217
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Blazar,0.3579,0.279
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Achilles,0.3577,0.4654
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.3467,0.3769
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.3442,0.3915
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Agamemnon,0.3351,0.3612
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.3307,0.3653
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/TensorFlow,0.3284,0.4022
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.3244,0.4786
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Penelopa,0.3163,0.4495
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Hekabe,0.3135,0.4162
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Zbrojni,0.3122,0.3408
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Zbrojni,0.3106,0.3696
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.3069,0.335
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Blazar,0.3043,0.2599
